Unnamed: 0,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful,period
Northumbria,3,100.0%,0,0.0%,257,76.9%,77,23.1%,51,81.0%,12,19.0%,37,80.4%,9,19.6%,5,50.0%,5,50.0%,301,93.5%,21,6.5%,26,81.3%,6,18.8%,63,94.0%,4,6.0%,73,89.0%,9,11.0%,154,81.1%,36,18.9%,21,84.0%,4,16.0%,214,86.3%,34,13.7%,13,100.0%,Aug.csv 2018
North Wales,2,66.7%,1,33.3%,152,84.9%,27,15.1%,13,72.2%,5,27.8%,11,84.6%,2,15.4%,4,57.1%,3,42.9%,87,94.6%,5,5.4%,7,100.0%,0,0.0%,22,95.7%,1,4.3%,43,95.6%,2,4.4%,53,94.6%,3,5.4%,4,80.0%,1,20.0%,125,92.6%,10,7.4%,2,100.0%,Aug.csv 2018
North Yorkshire,2,100.0%,0,0.0%,139,76.8%,42,23.2%,4,100.0%,0,0.0%,16,84.2%,3,15.8%,0,0,0,0,127,92.7%,10,7.3%,12,80.0%,3,20.0%,24,85.7%,4,14.3%,30,88.2%,4,11.8%,63,76.8%,19,23.2%,9,81.8%,2,18.2%,128,89.5%,15,10.5%,38,100.0%,Aug.csv 2018
Nottinghamshire,1,100.0%,0,0.0%,238,80.7%,57,19.3%,56,86.2%,9,13.8%,23,79.3%,6,20.7%,4,66.7%,2,33.3%,165,95.9%,7,4.1%,15,93.8%,1,6.3%,49,89.1%,6,10.9%,104,90.4%,11,9.6%,114,82.6%,24,17.4%,16,84.2%,3,15.8%,144,91.7%,13,8.3%,13,100.0%,Aug.csv 2018
South Wales,0,-,0,-,359,74.9%,120,25.1%,39,86.7%,6,13.3%,38,92.7%,3,7.3%,11,78.6%,3,21.4%,252,93.3%,18,6.7%,26,92.9%,2,7.1%,72,87.8%,10,12.2%,130,94.2%,8,5.8%,137,87.3%,20,12.7%,17,77.3%,5,22.7%,226,76.1%,71,23.9%,17,100.0%,Aug.csv 2018
South Yorkshire,1,50.0%,1,50.0%,266,78.2%,74,21.8%,15,88.2%,2,11.8%,50,87.7%,7,12.3%,5,62.5%,3,37.5%,195,87.1%,29,12.9%,12,80.0%,3,20.0%,57,90.5%,6,9.5%,69,97.2%,2,2.8%,79,94.0%,5,6.0%,20,83.3%,4,16.7%,162,85.7%,27,14.3%,20,100.0%,Aug.csv 2018
Staffordshire,1,50.0%,1,50.0%,210,81.7%,47,18.3%,14,50.0%,14,50.0%,35,92.1%,3,7.9%,8,100.0%,0,0.0%,136,94.4%,8,5.6%,24,85.7%,4,14.3%,41,89.1%,5,10.9%,65,95.6%,3,4.4%,55,94.8%,3,5.2%,11,91.7%,1,8.3%,156,88.1%,21,11.9%,19,100.0%,Aug.csv 2018
Suffolk,0,-,0,-,127,90.7%,13,9.3%,7,100.0%,0,0.0%,11,84.6%,2,15.4%,2,100.0%,0,0.0%,40,95.2%,2,4.8%,6,85.7%,1,14.3%,28,96.6%,1,3.4%,45,93.8%,3,6.3%,30,100.0%,0,0.0%,3,75.0%,1,25.0%,72,94.7%,4,5.3%,3,100.0%,Aug.csv 2018
Surrey,0,-,0,-,124,77.0%,37,23.0%,16,88.9%,2,11.1%,19,90.5%,2,9.5%,1,100.0%,0,0.0%,67,91.8%,6,8.2%,20,90.9%,2,9.1%,23,88.5%,3,11.5%,48,92.3%,4,7.7%,23,76.7%,7,23.3%,10,90.9%,1,9.1%,117,92.9%,9,7.1%,8,100.0%,Aug.csv 2018
Sussex,0,-,0,-,226,77.7%,65,22.3%,24,68.6%,11,31.4%,19,95.0%,1,5.0%,2,100.0%,0,0.0%,108,89.3%,13,10.7%,14,87.5%,2,12.5%,22,75.9%,7,24.1%,69,92.0%,6,8.0%,65,86.7%,10,13.3%,17,89.5%,2,10.5%,216,92.3%,18,7.7%,11,100.0%,Aug.csv 2018
Thames Valley,3,75.0%,1,25.0%,278,74.5%,95,25.5%,31,73.8%,11,26.2%,32,82.1%,7,17.9%,10,76.9%,3,23.1%,170,94.4%,10,5.6%,36,92.3%,3,7.7%,51,85.0%,9,15.0%,124,95.4%,6,4.6%,91,88.3%,12,11.7%,31,91.2%,3,8.8%,313,90.7%,32,9.3%,31,100.0%,Aug.csv 2018
Warwickshire,0,-,0,-,58,78.4%,16,21.6%,8,57.1%,6,42.9%,9,81.8%,2,18.2%,2,100.0%,0,0.0%,55,87.3%,8,12.7%,7,87.5%,1,12.5%,14,87.5%,2,12.5%,22,91.7%,2,8.3%,20,87.0%,3,13.0%,1,100.0%,0,0.0%,69,76.7%,21,23.3%,6,100.0%,Aug.csv 2018
West Mercia,0,-,0,-,198,77.6%,57,22.4%,12,66.7%,6,33.3%,15,78.9%,4,21.1%,1,100.0%,0,0.0%,150,93.8%,10,6.3%,18,94.7%,1,5.3%,45,88.2%,6,11.8%,64,97.0%,2,3.0%,70,82.4%,15,17.6%,25,80.6%,6,19.4%,222,92.9%,17,7.1%,10,100.0%,Aug.csv 2018
West Midlands,2,40.0%,3,60.0%,663,79.5%,171,20.5%,76,77.6%,22,22.4%,53,80.3%,13,19.7%,35,77.8%,10,22.2%,467,91.4%,44,8.6%,49,75.4%,16,24.6%,92,88.5%,12,11.5%,202,91.4%,19,8.6%,231,83.4%,46,16.6%,50,84.7%,9,15.3%,311,84.5%,57,15.5%,76,100.0%,Aug.csv 2018
West Yorkshire,0,-,0,-,495,82.8%,103,17.2%,62,75.6%,20,24.4%,52,89.7%,6,10.3%,36,94.7%,2,5.3%,253,91.3%,24,8.7%,31,88.6%,4,11.4%,80,88.9%,10,11.1%,129,90.8%,13,9.2%,141,87.0%,21,13.0%,26,83.9%,5,16.1%,252,91.3%,24,8.7%,70,100.0%,Aug.csv 2018
Wiltshire,0,-,0,-,112,89.6%,13,10.4%,8,88.9%,1,11.1%,11,91.7%,1,8.3%,2,66.7%,1,33.3%,83,95.4%,4,4.6%,9,90.0%,1,10.0%,26,96.3%,1,3.7%,29,93.5%,2,6.5%,33,89.2%,4,10.8%,5,100.0%,0,0.0%,74,96.1%,3,3.9%,7,100.0%,Aug.csv 2018
National,125,83.3%,25,16.7%,"10,140",79.5%,"2,622",20.5%,"1,026",74.6%,349,25.4%,"1,183",86.9%,178,13.1%,378,80.4%,92,19.6%,"6,102",92.2%,515,7.8%,860,87.4%,124,12.6%,"1,862",88.7%,238,11.3%,"3,573",93.4%,254,6.6%,"3,076",85.5%,520,14.5%,740,87.3%,108,12.7%,"6,743",84.3%,"1,257",15.7%,825,100.0%,Jul.csv 2018
Avon and Somerset,4,66.7%,2,33.3%,275,79.0%,73,21.0%,70,76.1%,22,23.9%,34,82.9%,7,17.1%,4,80.0%,1,20.0%,153,93.9%,10,6.1%,26,92.9%,2,7.1%,55,93.2%,4,6.8%,72,92.3%,6,7.7%,84,88.4%,11,11.6%,11,84.6%,2,15.4%,166,84.3%,31,15.7%,19,100.0%,Jul.csv 2018
Bedfordshire,0,-,0,-,94,81.0%,22,19.0%,5,83.3%,1,16.7%,14,82.4%,3,17.6%,13,86.7%,2,13.3%,59,98.3%,1,1.7%,9,90.0%,1,10.0%,19,100.0%,0,0.0%,33,91.7%,3,8.3%,19,76.0%,6,24.0%,5,100.0%,0,0.0%,82,73.9%,29,26.1%,21,100.0%,Jul.csv 2018
Cambridgeshire,3,100.0%,0,0.0%,108,84.4%,20,15.6%,10,100.0%,0,0.0%,11,91.7%,1,8.3%,2,50.0%,2,50.0%,60,89.6%,7,10.4%,8,100.0%,0,0.0%,23,95.8%,1,4.2%,22,88.0%,3,12.0%,23,67.6%,11,32.4%,6,100.0%,0,0.0%,81,95.3%,4,4.7%,19,100.0%,Jul.csv 2018
Cheshire,2,100.0%,0,0.0%,250,79.1%,66,20.9%,25,83.3%,5,16.7%,22,91.7%,2,8.3%,6,100.0%,0,0.0%,111,94.1%,7,5.9%,17,85.0%,3,15.0%,39,92.9%,3,7.1%,83,96.5%,3,3.5%,109,92.4%,9,7.6%,10,100.0%,0,0.0%,199,85.0%,35,15.0%,14,100.0%,Jul.csv 2018
Cleveland,0,-,0,-,138,76.2%,43,23.8%,7,87.5%,1,12.5%,33,94.3%,2,5.7%,2,66.7%,1,33.3%,200,92.6%,16,7.4%,8,100.0%,0,0.0%,38,90.5%,4,9.5%,49,90.7%,5,9.3%,62,86.1%,10,13.9%,12,80.0%,3,20.0%,76,87.4%,11,12.6%,6,100.0%,Jul.csv 2018
Cumbria,2,100.0%,0,0.0%,95,88.0%,13,12.0%,2,50.0%,2,50.0%,6,85.7%,1,14.3%,2,100.0%,0,0.0%,71,95.9%,3,4.1%,3,100.0%,0,0.0%,18,100.0%,0,0.0%,29,90.6%,3,9.4%,37,94.9%,2,5.1%,7,87.5%,1,12.5%,74,90.2%,8,9.8%,2,100.0%,Jul.csv 2018
Derbyshire,1,100.0%,0,0.0%,160,82.5%,34,17.5%,8,80.0%,2,20.0%,21,100.0%,0,0.0%,1,100.0%,0,0.0%,124,91.9%,11,8.1%,11,91.7%,1,8.3%,43,91.5%,4,8.5%,44,91.7%,4,8.3%,50,82.0%,11,18.0%,4,66.7%,2,33.3%,106,86.2%,17,13.8%,10,100.0%,Jul.csv 2018
Devon and Cornwall,4,100.0%,0,0.0%,208,85.6%,35,14.4%,10,71.4%,4,28.6%,15,100.0%,0,0.0%,7,87.5%,1,12.5%,102,97.1%,3,2.9%,16,84.2%,3,15.8%,42,95.5%,2,4.5%,66,98.5%,1,1.5%,72,93.5%,5,6.5%,8,100.0%,0,0.0%,165,87.8%,23,12.2%,19,100.0%,Jul.csv 2018
Dorset,0,-,0,-,137,83.0%,28,17.0%,8,72.7%,3,27.3%,12,92.3%,1,7.7%,3,100.0%,0,0.0%,46,86.8%,7,13.2%,6,75.0%,2,25.0%,28,90.3%,3,9.7%,32,100.0%,0,0.0%,42,89.4%,5,10.6%,5,100.0%,0,0.0%,79,86.8%,12,13.2%,24,100.0%,Jul.csv 2018
Durham,0,-,0,-,115,82.1%,25,17.9%,5,100.0%,0,0.0%,16,80.0%,4,20.0%,1,100.0%,0,0.0%,100,91.7%,9,8.3%,10,100.0%,0,0.0%,25,80.6%,6,19.4%,16,88.9%,2,11.1%,43,89.6%,5,10.4%,1,50.0%,1,50.0%,89,90.8%,9,9.2%,11,100.0%,Jul.csv 2018
Dyfed Powys,1,50.0%,1,50.0%,70,85.4%,12,14.6%,3,37.5%,5,62.5%,6,85.7%,1,14.3%,0,0,0,0,40,97.6%,1,2.4%,2,66.7%,1,33.3%,13,81.3%,3,18.8%,23,88.5%,3,11.5%,14,66.7%,7,33.3%,5,83.3%,1,16.7%,61,88.4%,8,11.6%,15,100.0%,Jul.csv 2018
Essex,1,33.3%,2,66.7%,223,78.5%,61,21.5%,38,69.1%,17,30.9%,31,79.5%,8,20.5%,10,90.9%,1,9.1%,125,94.0%,8,6.0%,18,90.0%,2,10.0%,43,82.7%,9,17.3%,58,93.5%,4,6.5%,46,80.7%,11,19.3%,14,87.5%,2,12.5%,190,86.4%,30,13.6%,19,100.0%,Jul.csv 2018
Gloucestershire,4,80.0%,1,20.0%,89,84.0%,17,16.0%,2,100.0%,0,0.0%,22,81.5%,5,18.5%,2,100.0%,0,0.0%,58,95.1%,3,4.9%,7,100.0%,0,0.0%,9,90.0%,1,10.0%,25,100.0%,0,0.0%,10,76.9%,3,23.1%,3,100.0%,0,0.0%,60,92.3%,5,7.7%,4,100.0%,Jul.csv 2018
GreaterManchester,5,83.3%,1,16.7%,505,80.9%,119,19.1%,80,70.8%,33,29.2%,54,79.4%,14,20.6%,27,77.1%,8,22.9%,172,93.0%,13,7.0%,22,84.6%,4,15.4%,86,89.6%,10,10.4%,96,88.1%,13,11.9%,164,90.6%,17,9.4%,35,87.5%,5,12.5%,278,83.7%,54,16.3%,30,100.0%,Jul.csv 2018
Gwent,3,100.0%,0,0.0%,94,81.0%,22,19.0%,8,80.0%,2,20.0%,15,100.0%,0,0.0%,3,100.0%,0,0.0%,84,96.6%,3,3.4%,3,75.0%,1,25.0%,21,87.5%,3,12.5%,45,93.8%,3,6.3%,38,97.4%,1,2.6%,9,100.0%,0,0.0%,60,87.0%,9,13.0%,8,100.0%,Jul.csv 2018
Hampshire,1,50.0%,1,50.0%,310,83.1%,63,16.9%,23,79.3%,6,20.7%,27,90.0%,3,10.0%,10,90.9%,1,9.1%,210,95.5%,10,4.5%,21,91.3%,2,8.7%,51,89.5%,6,10.5%,70,94.6%,4,5.4%,67,90.5%,7,9.5%,8,53.3%,7,46.7%,174,86.1%,28,13.9%,22,100.0%,Jul.csv 2018
Hertfordshire,2,66.7%,1,33.3%,186,78.2%,52,21.8%,11,91.7%,1,8.3%,22,84.6%,4,15.4%,4,57.1%,3,42.9%,166,93.8%,11,6.2%,32,86.5%,5,13.5%,28,82.4%,6,17.6%,64,90.1%,7,9.9%,55,82.1%,12,17.9%,15,100.0%,0,0.0%,130,80.7%,31,19.3%,16,100.0%,Jul.csv 2018
Humberside,0,-,0,-,148,80.4%,36,19.6%,15,75.0%,5,25.0%,24,77.4%,7,22.6%,9,75.0%,3,25.0%,119,95.2%,6,4.8%,10,83.3%,2,16.7%,40,88.9%,5,11.1%,61,95.3%,3,4.7%,49,80.3%,12,19.7%,8,80.0%,2,20.0%,90,86.5%,14,13.5%,11,100.0%,Jul.csv 2018
Kent,4,100.0%,0,0.0%,328,81.8%,73,18.2%,29,74.4%,10,25.6%,35,87.5%,5,12.5%,4,80.0%,1,20.0%,127,88.2%,17,11.8%,30,78.9%,8,21.1%,56,82.4%,12,17.6%,72,93.5%,5,6.5%,56,88.9%,7,11.1%,26,83.9%,5,16.1%,149,92.5%,12,7.5%,23,100.0%,Jul.csv 2018
Lancashire,3,100.0%,0,0.0%,269,81.5%,61,18.5%,26,83.9%,5,16.1%,50,90.9%,5,9.1%,13,100.0%,0,0.0%,216,93.9%,14,6.1%,23,92.0%,2,8.0%,67,85.9%,11,14.1%,96,95.0%,5,5.0%,128,92.1%,11,7.9%,17,81.0%,4,19.0%,276,83.1%,56,16.9%,11,100.0%,Jul.csv 2018
Leicestershire,0,-,0,-,180,90.5%,19,9.5%,28,73.7%,10,26.3%,27,100.0%,0,0.0%,6,100.0%,0,0.0%,64,87.7%,9,12.3%,14,77.8%,4,22.2%,41,100.0%,0,0.0%,31,93.9%,2,6.1%,44,91.7%,4,8.3%,9,81.8%,2,18.2%,96,80.0%,24,20.0%,5,100.0%,Jul.csv 2018
Lincolnshire,2,100.0%,0,0.0%,131,81.9%,29,18.1%,6,100.0%,0,0.0%,14,100.0%,0,0.0%,3,75.0%,1,25.0%,109,91.6%,10,8.4%,8,88.9%,1,11.1%,32,88.9%,4,11.1%,32,94.1%,2,5.9%,45,90.0%,5,10.0%,16,100.0%,0,0.0%,104,75.4%,34,24.6%,10,100.0%,Jul.csv 2018
Merseyside,2,100.0%,0,0.0%,306,81.6%,69,18.4%,39,78.0%,11,22.0%,20,90.9%,2,9.1%,6,100.0%,0,0.0%,155,92.8%,12,7.2%,14,82.4%,3,17.6%,58,92.1%,5,7.9%,147,96.1%,6,3.9%,61,85.9%,10,14.1%,15,93.8%,1,6.3%,236,83.1%,48,16.9%,15,100.0%,Jul.csv 2018
Metropolitan and City,15,65.2%,8,34.8%,"1,612",74.0%,567,26.0%,139,72.0%,54,28.0%,180,85.3%,31,14.7%,82,84.5%,15,15.5%,711,86.6%,110,13.4%,203,83.9%,39,16.1%,241,81.7%,54,18.3%,922,91.9%,81,8.1%,447,79.4%,116,20.6%,178,85.6%,30,14.4%,925,76.1%,291,23.9%,193,100.0%,Jul.csv 2018
Norfolk,1,100.0%,0,0.0%,163,81.5%,37,18.5%,14,100.0%,0,0.0%,10,90.9%,1,9.1%,7,100.0%,0,0.0%,99,91.7%,9,8.3%,9,100.0%,0,0.0%,32,97.0%,1,3.0%,60,96.8%,2,3.2%,92,94.8%,5,5.2%,11,91.7%,1,8.3%,113,91.9%,10,8.1%,6,100.0%,Jul.csv 2018
Northamptonshire,4,100.0%,0,0.0%,86,68.8%,39,31.2%,3,75.0%,1,25.0%,9,100.0%,0,0.0%,7,77.8%,2,22.2%,54,93.1%,4,6.9%,15,83.3%,3,16.7%,8,88.9%,1,11.1%,22,100.0%,0,0.0%,26,92.9%,2,7.1%,11,91.7%,1,8.3%,78,88.6%,10,11.4%,8,100.0%,Jul.csv 2018
Northumbria,2,100.0%,0,0.0%,246,74.8%,83,25.2%,50,80.6%,12,19.4%,55,77.5%,16,22.5%,12,75.0%,4,25.0%,267,91.1%,26,8.9%,23,82.1%,5,17.9%,61,88.4%,8,11.6%,69,93.2%,5,6.8%,107,77.5%,31,22.5%,20,95.2%,1,4.8%,216,83.7%,42,16.3%,36,100.0%,Jul.csv 2018
North Wales,6,85.7%,1,14.3%,151,87.8%,21,12.2%,9,81.8%,2,18.2%,17,94.4%,1,5.6%,4,100.0%,0,0.0%,93,93.9%,6,6.1%,10,83.3%,2,16.7%,29,87.9%,4,12.1%,59,96.7%,2,3.3%,71,94.7%,4,5.3%,6,75.0%,2,25.0%,116,91.3%,11,8.7%,4,100.0%,Jul.csv 2018
North Yorkshire,3,75.0%,1,25.0%,113,83.1%,23,16.9%,8,100.0%,0,0.0%,19,95.0%,1,5.0%,1,33.3%,2,66.7%,99,94.3%,6,5.7%,6,75.0%,2,25.0%,27,93.1%,2,6.9%,26,96.3%,1,3.7%,55,93.2%,4,6.8%,7,77.8%,2,22.2%,85,86.7%,13,13.3%,8,100.0%,Jul.csv 2018
Nottinghamshire,1,100.0%,0,0.0%,237,77.2%,70,22.8%,33,66.0%,17,34.0%,17,89.5%,2,10.5%,15,83.3%,3,16.7%,196,93.3%,14,6.7%,21,84.0%,4,16.0%,50,87.7%,7,12.3%,100,90.9%,10,9.1%,87,82.9%,18,17.1%,20,95.2%,1,4.8%,149,89.2%,18,10.8%,9,100.0%,Jul.csv 2018
South Wales,4,80.0%,1,20.0%,325,75.8%,104,24.2%,36,78.3%,10,21.7%,42,80.8%,10,19.2%,10,62.5%,6,37.5%,255,93.4%,18,6.6%,12,80.0%,3,20.0%,65,92.9%,5,7.1%,174,95.1%,9,4.9%,128,90.8%,13,9.2%,29,87.9%,4,12.1%,203,83.9%,39,16.1%,15,100.0%,Jul.csv 2018
South Yorkshire,3,75.0%,1,25.0%,226,77.7%,65,22.3%,7,77.8%,2,22.2%,42,97.7%,1,2.3%,13,68.4%,6,31.6%,200,97.1%,6,2.9%,22,100.0%,0,0.0%,63,88.7%,8,11.3%,61,96.8%,2,3.2%,83,87.4%,12,12.6%,8,100.0%,0,0.0%,152,92.1%,13,7.9%,19,100.0%,Jul.csv 2018
Staffordshire,3,100.0%,0,0.0%,185,81.1%,43,18.9%,16,66.7%,8,33.3%,25,89.3%,3,10.7%,7,77.8%,2,22.2%,122,93.1%,9,6.9%,15,88.2%,2,11.8%,31,88.6%,4,11.4%,72,96.0%,3,4.0%,51,86.4%,8,13.6%,13,100.0%,0,0.0%,119,85.0%,21,15.0%,15,100.0%,Jul.csv 2018
Suffolk,1,100.0%,0,0.0%,99,81.1%,23,18.9%,8,100.0%,0,0.0%,12,100.0%,0,0.0%,0,0,0,0,40,90.9%,4,9.1%,11,91.7%,1,8.3%,23,95.8%,1,4.2%,47,90.4%,5,9.6%,28,82.4%,6,17.6%,2,66.7%,1,33.3%,75,90.4%,8,9.6%,1,100.0%,Jul.csv 2018
Surrey,0,-,0,-,118,77.6%,34,22.4%,20,80.0%,5,20.0%,19,100.0%,0,0.0%,2,100.0%,0,0.0%,51,94.4%,3,5.6%,17,100.0%,0,0.0%,18,94.7%,1,5.3%,43,95.6%,2,4.4%,28,96.6%,1,3.4%,10,100.0%,0,0.0%,109,90.1%,12,9.9%,11,100.0%,Jul.csv 2018
Sussex,0,-,0,-,239,81.0%,56,19.0%,26,74.3%,9,25.7%,13,72.2%,5,27.8%,7,100.0%,0,0.0%,73,94.8%,4,5.2%,13,100.0%,0,0.0%,33,94.3%,2,5.7%,67,98.5%,1,1.5%,46,80.7%,11,19.3%,11,78.6%,3,21.4%,181,87.9%,25,12.1%,7,100.0%,Jul.csv 2018
Thames Valley,2,100.0%,0,0.0%,353,75.3%,116,24.7%,31,79.5%,8,20.5%,42,82.4%,9,17.6%,10,45.5%,12,54.5%,246,91.8%,22,8.2%,45,93.8%,3,6.3%,57,90.5%,6,9.5%,121,91.7%,11,8.3%,77,75.5%,25,24.5%,25,75.8%,8,24.2%,306,89.0%,38,11.0%,33,100.0%,Jul.csv 2018
Warwickshire,0,-,0,-,90,86.5%,14,13.5%,10,66.7%,5,33.3%,18,100.0%,0,0.0%,3,100.0%,0,0.0%,51,89.5%,6,10.5%,13,100.0%,0,0.0%,10,90.9%,1,9.1%,18,94.7%,1,5.3%,26,76.5%,8,23.5%,5,100.0%,0,0.0%,58,67.4%,28,32.6%,9,100.0%,Jul.csv 2018
West Mercia,3,100.0%,0,0.0%,207,80.5%,50,19.5%,25,64.1%,14,35.9%,12,100.0%,0,0.0%,3,75.0%,1,25.0%,126,90.6%,13,9.4%,16,100.0%,0,0.0%,33,91.7%,3,8.3%,65,97.0%,2,3.0%,66,86.8%,10,13.2%,10,100.0%,0,0.0%,195,83.7%,38,16.3%,8,100.0%,Jul.csv 2018
West Midlands,17,85.0%,3,15.0%,688,82.6%,145,17.4%,69,71.9%,27,28.1%,63,84.0%,12,16.0%,39,78.0%,11,22.0%,459,91.6%,42,8.4%,59,86.8%,9,13.2%,95,88.0%,13,12.0%,213,92.2%,18,7.8%,219,84.2%,41,15.8%,71,85.5%,12,14.5%,298,85.6%,50,14.4%,74,100.0%,Jul.csv 2018
West Yorkshire,16,94.1%,1,5.9%,490,79.4%,127,20.6%,56,67.5%,27,32.5%,49,83.1%,10,16.9%,12,85.7%,2,14.3%,227,93.0%,17,7.0%,26,86.7%,4,13.3%,94,86.2%,15,13.8%,139,92.1%,12,7.9%,97,82.2%,21,17.8%,42,91.3%,4,8.7%,284,84.3%,53,15.7%,33,100.0%,Jul.csv 2018
Wiltshire,0,-,0,-,93,87.7%,13,12.3%,8,72.7%,3,27.3%,8,88.9%,1,11.1%,6,85.7%,1,14.3%,62,92.5%,5,7.5%,6,100.0%,0,0.0%,17,100.0%,0,0.0%,29,100.0%,0,0.0%,24,92.3%,2,7.7%,12,100.0%,0,0.0%,60,92.3%,5,7.7%,2,100.0%,Jul.csv 2018
National,95,83.3%,19,16.7%,"9,003",79.1%,"2,379",20.9%,880,75.4%,287,24.6%,"1,000",86.4%,158,13.6%,372,81.0%,87,19.0%,"5,801",92.4%,480,7.6%,802,86.9%,121,13.1%,"1,589",85.6%,267,14.4%,"3,327",92.8%,260,7.2%,"2,713",86.2%,433,13.8%,691,89.3%,83,10.7%,"7,184",85.4%,"1,226",14.6%,963,100.0%,Mar.csv 2018
Avon and Somerset,4,100.0%,0,0.0%,253,81.1%,59,18.9%,41,80.4%,10,19.6%,24,88.9%,3,11.1%,14,82.4%,3,17.6%,112,89.6%,13,10.4%,10,90.9%,1,9.1%,57,87.7%,8,12.3%,64,90.1%,7,9.9%,87,84.5%,16,15.5%,6,66.7%,3,33.3%,206,89.2%,25,10.8%,22,100.0%,Mar.csv 2018
Bedfordshire,0,-,0,-,67,75.3%,22,24.7%,12,92.3%,1,7.7%,7,100.0%,0,0.0%,7,87.5%,1,12.5%,77,87.5%,11,12.5%,8,100.0%,0,0.0%,17,85.0%,3,15.0%,49,96.1%,2,3.9%,17,94.4%,1,5.6%,10,90.9%,1,9.1%,129,86.0%,21,14.0%,13,100.0%,Mar.csv 2018
Cambridgeshire,3,100.0%,0,0.0%,136,80.0%,34,20.0%,10,83.3%,2,16.7%,12,92.3%,1,7.7%,3,75.0%,1,25.0%,89,90.8%,9,9.2%,13,86.7%,2,13.3%,22,84.6%,4,15.4%,35,94.6%,2,5.4%,22,78.6%,6,21.4%,5,100.0%,0,0.0%,116,92.8%,9,7.2%,12,100.0%,Mar.csv 2018
Cheshire,2,100.0%,0,0.0%,258,88.7%,33,11.3%,28,90.3%,3,9.7%,26,100.0%,0,0.0%,4,80.0%,1,20.0%,146,96.1%,6,3.9%,20,95.2%,1,4.8%,40,87.0%,6,13.0%,91,94.8%,5,5.2%,98,89.9%,11,10.1%,15,100.0%,0,0.0%,233,89.6%,27,10.4%,27,100.0%,Mar.csv 2018
Cleveland,0,-,0,-,101,72.7%,38,27.3%,6,100.0%,0,0.0%,26,89.7%,3,10.3%,10,100.0%,0,0.0%,240,96.8%,8,3.2%,10,100.0%,0,0.0%,32,88.9%,4,11.1%,54,94.7%,3,5.3%,38,84.4%,7,15.6%,3,100.0%,0,0.0%,74,87.1%,11,12.9%,5,100.0%,Mar.csv 2018
Cumbria,0,-,0,-,89,85.6%,15,14.4%,6,100.0%,0,0.0%,7,87.5%,1,12.5%,1,100.0%,0,0.0%,79,97.5%,2,2.5%,9,90.0%,1,10.0%,19,86.4%,3,13.6%,21,100.0%,0,0.0%,48,96.0%,2,4.0%,4,80.0%,1,20.0%,67,89.3%,8,10.7%,5,100.0%,Mar.csv 2018
Derbyshire,3,100.0%,0,0.0%,150,78.1%,42,21.9%,11,78.6%,3,21.4%,15,100.0%,0,0.0%,6,54.5%,5,45.5%,132,93.0%,10,7.0%,18,90.0%,2,10.0%,28,82.4%,6,17.6%,35,87.5%,5,12.5%,58,90.6%,6,9.4%,9,100.0%,0,0.0%,93,86.1%,15,13.9%,22,100.0%,Mar.csv 2018
Devon and Cornwall,1,100.0%,0,0.0%,194,86.2%,31,13.8%,10,76.9%,3,23.1%,24,92.3%,2,7.7%,1,100.0%,0,0.0%,75,96.2%,3,3.8%,15,100.0%,0,0.0%,32,94.1%,2,5.9%,81,96.4%,3,3.6%,53,94.6%,3,5.4%,11,91.7%,1,8.3%,168,90.8%,17,9.2%,4,100.0%,Mar.csv 2018
